asn,country
49722,['RU']
138907,['MN']
263836,['CO']
21371,"['GB', 'US']"
49083,['FR']
267658,['BR']
201745,['RU']
24709,['PL']
60023,['IT']
18614,['US']
57879,['RO']
201736,['AT']
203408,['PL']
34747,['RU']
197164,['DE']
7784,['US']
268710,['BR']
46111,['US']
352,['US']
133700,['IN']
13536,['US']
328615,['LY']
267743,['PE']
54626,['US']
136164,['BD']
24270,['JP']
137079,['AU']
265660,['AR']
36720,['US']
138539,['SG']
197735,['PL']
5734,['ZA']
21746,['US']
205418,['FR']
131427,['VN']
34762,"['BE', 'NL', 'GB']"
43872,"['DE', 'GB']"
35795,['UA']
41123,['RU']
36850,['US']
29375,['UA']
264939,['BR']
397563,"['US', 'TR']"
141286,['IN']
269248,['BR']
59784,['RO']
28606,['BR']
30192,['US']
395340,['US']
48981,"['GI', 'PL']"
210297,['OM']
54491,['US']
22734,['US']
267550,['BR']
58465,['KH']
200715,['DE']
199569,['GB']
10329,['CA']
50460,['IR']
131239,['NZ']
265654,['PA']
134022,['IN']
9646,['KR']
42042,['RU']
44572,['RU']
46598,['US']
267104,['BR']
42960,"['HK', 'US']"
60472,['NL']
58562,['SG']
269868,['DO']
395384,['US']
199744,['IT']
39926,['IT']
59507,['DE']
36073,['US']
265407,['BR']
54084,['US']
43497,['UA']
38191,"['US', 'IN']"
197060,['EE']
49311,['RU']
395078,['US']
208030,['LV']
212652,['BG']
208081,['IT']
211742,['PL']
21430,['CZ']
55243,['US']
14243,['US']
141417,['BD']
11732,['US']
42186,['RS']
15498,['AT']
32787,"['NL', 'HK', 'DE', 'SA', 'AE', 'AU', 'NZ', 'IT', 'JP', 'GB', 'US', 'SG', 'CO', 'CA', 'TW']"
50621,['DE']
7727,['HN']
203126,['NL']
47102,['CA']
51252,['UA']
131194,"['AU', 'SG']"
141661,['ID']
395499,['US']
197441,['SI']
62992,['US']
51394,['PL']
12257,"['US', 'FR', 'CA', 'IE']"
135288,['NZ']
397178,['US']
269252,['BR']
211633,['DK']
203459,['IQ']
200114,['CZ']
201059,['DE']
59579,['PL']
209784,['DE']
56159,['VN']
201787,['PL']
42397,['RO']
42682,['RU']
396202,['US']
7768,['US']
5601,['SE']
38021,['IN']
41176,['SA']
51139,['IT']
132447,['LK']
141347,['PK']
328400,['ZA']
14717,"['GB', 'US']"
208038,['UA']
10157,['KR']
30973,['CH']
19140,['US']
268626,['BR']
395952,['US']
14300,['US']
269517,['BR']
11069,['US']
197939,['PL']
15768,['GB']
265244,['BR']
263193,['HN']
267921,['AR']
42844,['BG']
14747,['US']
269008,['BR']
266265,['BR']
134774,['CN']
134271,['IN']
394409,['US']
205063,['RU']
395650,['US']
7565,['BD']
54283,['US']
267402,['BR']
269244,['BR']
203476,['FR']
264155,['BR']
15868,['RU']
328025,['CI']
36932,['NG']
137840,['AU']
139781,['BD']
198432,['ES']
40400,['US']
53854,['US']
58815,['ID']
269606,['BR']
206130,['NL']
133303,['IN']
270829,['BR']
134451,"['SG', 'ID']"
38771,['ID']
49724,['RU']
3243,['PT']
50361,['UA']
12009,['US']
264360,['BR']
22103,['US']
25416,['SE']
37660,['NG']
3176,['LB']
264889,['BR']
21029,['UA']
269713,['BR']
201326,['BG']
17436,['IN']
35308,['UA']
396958,['US']
264864,['BR']
395736,['US']
10347,['US']
135559,['AU']
206702,['ES']
34691,['IT']
45186,"['AU', 'NZ']"
206077,['ES']
54566,['US']
394043,['US']
268411,['BR']
147180,['BD']
394517,['US']
12188,"['US', 'CA']"
54689,['US']
394926,['US']
63987,['BD']
28843,['LV']
51421,['AT']
209081,['DE']
34592,['IR']
7183,['US']
394600,['US']
268066,['BR']
205545,['GB']
5418,['NL']
17853,['KR']
40727,['CA']
28666,['BR']
56005,['CN']
61677,['BR']
266638,['BR']
198403,['CZ']
213178,['IT']
27251,['US']
269174,['BR']
60351,['DE']
14017,['US']
60567,['SE']
49618,['SI']
262201,['AR']
201692,['FI']
15987,['DE']
134651,['ID']
6798,['AT']
49697,['DE']
18662,['US']
57007,['CZ']
133203,['JP']
396235,['US']
202061,['PL']
132780,['IN']
139979,['ID']
132711,['IN']
57172,"['BE', 'NL', 'US']"
59134,"['BE', 'US', 'ID', 'MY']"
28181,['BR']
213147,['PL']
209495,['NL']
199846,['PL']
267251,['BR']
21766,['US']
132884,['BD']
262517,['BR']
269556,['BR']
44187,['NL']
30923,['PL']
58049,['LU']
396121,['US']
207112,['PT']
204572,['CH']
43263,['RU']
12033,['US']
63979,['NZ']
50468,['GB']
134712,['BD']
21032,['DE']
134634,['ID']
40868,['US']
201145,['IQ']
141127,['ID']
206747,['GB']
134700,"['HK', 'US', 'CN']"
200463,['RU']
57645,['RU']
19263,['US']
262379,['BR']
14340,"['GB', 'US', 'SG', 'FR']"
12898,['DE']
37025,['NG']
393572,['US']
398164,['US']
19957,['US']
210315,['AM']
47418,['RU']
136980,['NZ']
57258,['PL']
137185,['HK']
210688,['LT']
51809,['GB']
41873,['UA']
196775,['GI']
133204,['HK']
26555,['US']
55746,['NZ']
268701,['BR']
26788,['CA']
15063,['US']
54214,['US']
31009,['UA']
36537,['US']
31200,['RU']
199768,['SE']
395846,['US']
139035,['IN']
38062,['AU']
57443,['TJ']
21315,['NL']
212657,['PL']
197177,['PL']
268291,['BR']
197083,['CZ']
23196,['US']
35373,['LV']
266428,['BR']
36517,['US']
42300,['EE']
19203,['US']
11893,['US']
44710,"['UA', 'RU']"
48930,['RO']
58713,['AU']
8989,['DK']
61760,['BR']
398942,['US']
7253,['US']
6185,"['NL', 'SE', 'HK', 'DK', 'IE', 'AU', 'JP', 'RU', 'DE', 'GB', 'US', 'SG', 'TW', 'FR', 'ZA', 'KR']"
43452,['MK']
199510,['PL']
266869,['CO']
7765,['CA']
34838,['RU']
13118,['RU']
398162,['US']
32749,['US']
136506,['JP']
52903,['BR']
39437,['DE']
36319,['US']
270374,['BR']
27957,['VE']
27567,['US']
136838,['ID']
268978,['BR']
40879,['US']
56396,"['GB', 'US']"
33665,['US']
42659,['DK']
62667,"['US', 'CA']"
393714,['US']
21719,"['US', 'CA']"
26810,['US']
50853,['RU']
53934,['US']
211112,"['GB', 'US']"
24105,['PK']
267258,['BR']
60294,['DE']
399611,['US']
34236,['SE']
200540,['GR']
35512,['RO']
202125,['ES']
59553,['IR']
136434,['BD']
12765,['FR']
394529,['US']
51942,['NL']
396290,['US']
393815,['US']
263382,['BR']
397572,['US']
42711,['UA']
268257,['BR']
264852,['AR']
2259,['FR']
54826,['CA']
40524,['US']
53119,['BR']
270645,['BR']
398570,['US']
209513,['FR']
27811,['NI']
397158,['US']
268480,['BR']
55520,['MY']
266042,['BR']
200411,['FR']
9461,['AU']
21182,['PL']
50369,['RO']
267919,['CO']
138850,['ID']
13691,['US']
132093,['AU']
397474,['CA']
200076,['HU']
24046,['AU']
60066,['LV']
59865,"['NL', 'DK', 'AU', 'US']"
264249,['BR']
136345,['IN']
43445,['FR']
47275,['PL']
39341,['GB']
22087,['US']
138875,['ID']
40108,['CA']
207481,['DE']
269548,['BR']
23631,['JP']
263861,['BR']
53465,['US']
27747,['AR']
269795,['AR']
328241,['ZA']
49319,['UA']
267295,['BR']
14471,['US']
328214,['ZA']
48952,['ES']
20688,['RU']
20702,['RU']
39864,['RU']
40412,['US']
13342,['US']
399629,"['NL', 'US', 'GB']"
203951,['IR']
31676,['RO']
60628,['RU']
212749,['AM']
269764,['AR']
398382,"['GB', 'US']"
201928,['TR']
59655,['CY']
209293,['NO']
22847,['US']
207366,['NL']
204530,['HU']
26950,['US']
265400,['BR']
34791,['SK']
7412,['US']
208503,['NL']
23086,['US']
266998,['BR']
32441,['CA']
394756,['US']
134963,"['CN', 'HK', 'DE', 'US', 'SG']"
395954,['US']
43696,['RU']
132570,['IN']
206129,['BG']
57074,['ES']
263958,['BR']
327757,['BW']
262294,['BR']
263115,['MX']
32276,['US']
32952,['US']
135326,['AU']
15549,['KZ']
395926,['US']
43289,"['MD', 'US']"
30838,['PL']
18330,['KR']
204113,['CZ']
51716,['RU']
22407,['BR']
270760,['BR']
267969,['BR']
269469,['BR']
40468,['US']
49020,['LB']
267170,['BR']
58525,['JP']
45846,['JP']
42046,['GB']
58558,['ID']
399434,['US']
265235,['BR']
59139,['ID']
140581,['AU']
211144,['NO']
209890,['RU']
132894,['AU']
3302,['IT']
